kategoria;gyarto;tipus;sorozatszam;brutto ar
CPU - AMD;AMD;A6-9500 BOX (sAM4);(AD9500AGABBOX);14 990 Ft
CPU - AMD;AMD;A12-9800E BOX (sAM4);(AD9800AHABBOX);32 490 Ft
CPU - AMD;AMD;Ryzen Threadripper 1950X BOX (sTR4);(YD195XA8AEWOF);310 990 Ft
CPU - AMD;AMD;Ryzen 3 1200 BOX (sAM4);(YD1200BBAEBOX);32 589 Ft
CPU - AMD;AMD;Ryzen 3 1300X BOX (sAM4);(YD130XBBAEBOX);37 490 Ft
CPU - AMD;AMD;Ryzen 5 1400 BOX (sAM4);(YD1400BBAEBOX);47 589 Ft
CPU - AMD;AMD;Ryzen 5 1500X Tray (sAM4);(YD150XBBM4GAE);52 989 Ft
CPU - AMD;AMD;Ryzen 5 1500X BOX (sAM4);(YD150XBBAEBOX);53 390 Ft
CPU - AMD;AMD;Ryzen 5 1600 BOX (sAM4);(YD1600BBAEBOX);62 390 Ft
CPU - AMD;AMD;Ryzen 5 1600X BOX (sAM4);(YD160XBCAEWOF);71 391 Ft
CPU - AMD;AMD;Sempron 2650 X2 BOX (aAM1);(SD2650JAHMBOX);9 590 Ft
CPU - AMD;AMD;Ryzen 7 1700 BOX (sAM4);(YD1700BBAEBOX);89 990 Ft
CPU - AMD;AMD;Ryzen 7 1700X BOX (sAM4);(YD170XBCAEWOF);99 790 Ft
CPU - AMD;AMD;Ryzen 7 1800X BOX (sAM4);(YD180XBCAEWOF);131 990 Ft
CPU - AMD;AMD;Sempron 3850 X4 BOX (sAM1);(SD3850JAHMBOX);10 290 Ft
CPU - AMD;AMD;Athlon X4 845 BOX (sFM2+);(AD845XACKASBX);14 300 Ft
CPU - AMD;AMD;A4-4000 X2 BOX (sFM2);(AD4000OKHLBOX);7 990 Ft
CPU - AMD;AMD;A4-4020 X2 BOX (sFM2);(AD4020OKHLBOX);8 490 Ft
CPU - AMD;AMD;A4-5300 X2 BOX (sFM2);(AD5300OKHJBOX);9 190 Ft
CPU - AMD;AMD;A4-6300 X2 BOX (sFM2);(AD6300OKHLBOX);9 889 Ft
CPU - AMD;AMD;A4-7300 X2 BOX (sFM2);(AD7300OKHLBOX);10 991 Ft
CPU - AMD;AMD;A6-5400K X2 BOX (sFM2);(AD540KOKHJBOX);8 790 Ft
CPU - AMD;AMD;A6-6400K X2 BOX (sFM2);(AD640KOKHLBOX);13 291 Ft
CPU - AMD;AMD;Athlon X4 860K BOX (sFM2+);(AD860KXBJASBX);17 290 Ft
CPU - AMD;AMD;Athlon X4 880K BOX (sFM2+);(AD880KXBJCSBX);24 190 Ft
CPU - AMD;AMD;A6-7400K X2 BOX (sFM2+);(AD740KYBJABOX);13 691 Ft
CPU - AMD;AMD;A10-7860K X4 BOX (sFM2+);(AD786KYBJCSBX);28 990 Ft
CPU - AMD;AMD;A10-7870K X4 BOX (sFM2+);(AD787KXDJCBOX);31 990 Ft
CPU - AMD;AMD;A10-7870K X4 BOX (sFM2+);(AD787KXDJCSBX);31 789 Ft
CPU - AMD;AMD;FX-4300 X4 Tray (sAM+);(FD4300WMW4MHK);14 990 Ft
CPU - AMD;AMD;FX-4300 X4 BOX (sAM3+);(FD4300WMHKBOX);17 690 Ft
CPU - AMD;AMD;FX-4320 X4 BOX (sAM3+);(FD4320WMHKBOX);18 400 Ft
CPU - AMD;AMD;FX-6100 X6 BOX (sAM3+);(FD6100WMGUBOX);21 391 Ft
CPU - AMD;AMD;FX-6300 X6 BOX (sAM3+);(FD6300WMHKBOX);22 501 Ft
CPU - AMD;AMD;FX-6350 X6 BOX (sAM3+);(FD6350FRHKBOX);33 291 Ft
CPU - AMD;AMD;FX-8300 X8 BOX (sAM3+);(FD8300WMHKBOX);32 189 Ft
CPU - AMD;AMD;FX-8320 X8 BOX (sAM3+);(FD8320FRHKBOX);31 990 Ft
CPU - AMD;AMD;FX-8350 X8 BOX (sAM3+);(FD8350FRHKBOX);32 990 Ft
CPU - AMD;AMD;FX-8350 X8 BOX (sAM3+);(FD8350FRHKHBX);40 390 Ft
CPU - AMD;AMD;FX-8370 X8 BOX (sAM3+);(FD8370FRHKBOX);39 390 Ft
CPU - AMD;AMD;FX-9370 X8 BOX (sAM3+);(FD9370FHHKWOF);52 690 Ft
CPU - AMD;AMD;FX-9590 X8 BOX (sAM3+);(FD9590FHHKWOF);46 490 Ft
CPU - INTEL;Intel Pentium Dual Core;G3250 3.20GHz Tray;(CM8064601482514);21 900 Ft
CPU - INTEL;Intel Core i7-7740X;4.30GHz BOX;(BX80677I77740X);100 190 Ft
CPU - INTEL;Intel Core i7-7800X;3.50GHz BOX;(BX80673I77800X);117 991 Ft
CPU - INTEL;Intel Core i7-7820X;3.60GHz BOX;(BX80673I77820X);172 991 Ft
